trial_id,stage,status,run_dir,elapsed_sec,reached_target,best_epoch,best_score,val_macro_f1,test_acc,test_macro_f1,seed,lr,weight_decay,tcn_dropout,classifier_dropout,batch_size,tcn_layers,tcn_channels,attn_dropout,label_smoothing,weighted_sampler,epochs,checkpoint_metric,command
1,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0001_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed154,9.46,False,6,1.0,1.0,0.8708,0.821593,154,0.0003,0.0002,0.2,0.35,128,4,"96,96,96",0.1,0.0,False,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0001_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 128 --lr 0.0003 --weight-decay 0.0002 --label-smoothing 0.0 --seed 154 --num-workers 0 --tcn-kernel 3 --tcn-layers 4 --tcn-channels 96,96,96 --tcn-dropout 0.2 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.35 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1"
2,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0002_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs96_seed152,6.02,False,7,1.0,1.0,0.7920999999999999,0.688251,152,0.0002,0.0001,0.12,0.3,96,2,"64,64,64",0.05,0.05,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0002_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 96 --lr 0.0002 --weight-decay 0.0001 --label-smoothing 0.05 --seed 152 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 64,64,64 --tcn-dropout 0.12 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.3 --attn-heads 4 --attn-dropout 0.05 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
3,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0003_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_seed136,6.3,False,10,1.0,1.0,0.7865000000000001,0.688216,136,0.00025,0.0003,0.2,0.45,128,2,"96,96,96",0.1,0.05,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0003_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 128 --lr 0.00025 --weight-decay 0.0003 --label-smoothing 0.05 --seed 136 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 96,96,96 --tcn-dropout 0.2 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.45 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
4,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0004_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs96_seed156,7.94,False,7,1.0,1.0,0.8146,0.736313,156,0.00015,0.0001,0.15,0.25,96,3,"64,64,64",0.15,0.05,False,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0004_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 96 --lr 0.00015 --weight-decay 0.0001 --label-smoothing 0.05 --seed 156 --num-workers 0 --tcn-kernel 3 --tcn-layers 3 --tcn-channels 64,64,64 --tcn-dropout 0.15 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.25 --attn-heads 4 --attn-dropout 0.15 --attn-ff-dim 128 --checkpoint-metric val_macro_f1"
5,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0005_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs64_seed105,7.35,False,5,1.0,1.0,0.7556,0.661128,105,0.00025,0.0005,0.12,0.25,64,2,"64,64,64",0.1,0.0,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0005_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 64 --lr 0.00025 --weight-decay 0.0005 --label-smoothing 0.0 --seed 105 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 64,64,64 --tcn-dropout 0.12 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.25 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
6,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0006_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed108,7.84,False,9,1.0,1.0,0.8146,0.751012,108,0.00015,0.0001,0.08,0.25,128,3,"80,80,80",0.05,0.05,False,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0006_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 128 --lr 0.00015 --weight-decay 0.0001 --label-smoothing 0.05 --seed 108 --num-workers 0 --tcn-kernel 3 --tcn-layers 3 --tcn-channels 80,80,80 --tcn-dropout 0.08 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.25 --attn-heads 4 --attn-dropout 0.05 --attn-ff-dim 128 --checkpoint-metric val_macro_f1"
7,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0007_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed113,10.34,False,24,1.0,1.0,0.8201999999999999,0.766164,113,0.0001,0.0005,0.2,0.35,96,3,"80,80,80",0.1,0.0,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0007_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 96 --lr 0.0001 --weight-decay 0.0005 --label-smoothing 0.0 --seed 113 --num-workers 0 --tcn-kernel 3 --tcn-layers 3 --tcn-channels 80,80,80 --tcn-dropout 0.2 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.35 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
8,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0008_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed133,11.57,False,15,1.0,1.0,0.7669,0.683252,133,0.0001,0.0002,0.1,0.35,96,4,"80,80,80",0.1,0.0,False,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0008_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 96 --lr 0.0001 --weight-decay 0.0002 --label-smoothing 0.0 --seed 133 --num-workers 0 --tcn-kernel 3 --tcn-layers 4 --tcn-channels 80,80,80 --tcn-dropout 0.1 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.35 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1"
9,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0009_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed107,6.27,False,8,1.0,1.0,0.8118000000000001,0.745315,107,0.0003,0.0001,0.12,0.45,96,2,"80,80,80",0.1,0.05,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0009_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 96 --lr 0.0003 --weight-decay 0.0001 --label-smoothing 0.05 --seed 107 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 80,80,80 --tcn-dropout 0.12 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.45 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
10,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0010_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs96_seed146,6.39,False,12,1.0,1.0,0.8511,0.807184,146,0.0001,0.0001,0.1,0.3,96,2,"96,96,96",0.1,0.0,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation1_sweep_strict_valf1_20260522/trials/trial_0010_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 96 --lr 0.0001 --weight-decay 0.0001 --label-smoothing 0.0 --seed 146 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 96,96,96 --tcn-dropout 0.1 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.3 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
